u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,service,junction,bridge,width,access,ref,tunnel,walkability
29311248,12185229088,0,1316745046,tertiary,1,,Geddes Avenue,False,False,108.76228912678536,,,,,,,,0.4631247167463114
29311327,2889720440,0,285298399,service,,,,False,True,51.808692051911024,parking_aisle,,,,,,,0.39754194047938307
29311327,2889720439,0,4618349,service,,,,False,True,21.133440400245,,,,,,,,0.4013249521584186
29311358,29311359,0,442013309,service,,,,False,False,35.89721595948201,driveway,,,,,,,0.4050693450890614
29311370,4394279057,0,4691837,service,,,,False,True,43.401248773917914,,,,,,,,0.41209372795319393
29311373,4394279021,0,4691835,service,,,,False,False,15.142476086454025,,,,,,,,0.39424826913632416
29311373,29311366,0,4618367,service,,,,False,True,21.394770313887697,,,,,,,,0.40135274594199
29311373,4394864614,0,4691835,service,,,,False,True,101.23816900854989,,,,,,,,0.39406631216765176
29799032,29799033,0,4687994,path,,,,False,True,27.74340629375316,,,,,,,,0.41209372795319393
29799032,29799034,0,4687995,path,,,,False,False,46.46091799966807,,,,,,,,0.41569007754715603
29799033,9062278406,0,4687992,path,,,,False,False,229.0275139122586,,,,,,,,0.39424826913632416
29799033,29799044,0,4687992,path,,,,False,True,336.9136052067887,,,,,,,,0.42585103149719616
29799034,29799035,0,4687996,path,,,,False,False,19.954110399147552,,,,,,,,0.3887955927059608
29799034,29799031,0,4687996,path,,,,False,True,48.69324000685872,,,,,,,,0.4055362150100422
29799035,303968250,0,4688002,path,,,,False,True,26.973143145603824,,,,,,,,0.3905989319509173
29823154,4394864641,0,4691837,service,,,,False,False,7.999259852246886,,,,,,,,0.4055362150100422
29823155,4394864651,0,4691837,service,,,,False,False,20.136276990946868,,,,,,,,0.3887955927059608
30440466,8204135993,0,33687118,service,,,,False,True,15.015026347028208,,,,,,,,0.39776346502903004
32765332,9797525482,0,518286597,service,,,,False,False,5.569137472704334,,,,,,,,0.3882919827705425
32765334,3506311699,0,4958411,service,,,,False,False,72.88293262325217,parking_aisle,,,,,,,0.40296826108404965
35185966,5494844615,0,5115330,path,,,Outer Loop (Blue Trail),False,False,20.858366346006783,,,,,,,,0.3926971460421556
35185966,5494844615,1,571825052,path,,,,False,False,20.994505244341717,,,,,,,,0.38808348613301036
